Temps,It,Stocks,Prix
84,84,118.807892,0.000000
85,85,119.336212,0.000000
86,86,119.221466,0.000000
87,86,120.529282,0.000000
88,86,120.250381,0.000000
89,87,119.784973,0.000000
90,88,118.200653,0.000000
91,89,118.035118,0.000000
92,90,118.749100,0.000000
93,90,121.060722,0.000000
94,91,118.901550,0.000000
95,92,117.000854,0.000000
96,93,118.235176,0.000000
97,94,116.496254,0.000000
98,95,119.731277,0.000000
99,96,118.701378,0.000000
100,97,118.630226,0.000000
1,1,100.700478,2.124465
2,2,99.908531,1.802809
3,3,99.654243,1.477599
4,4,101.421837,1.582832
5,5,100.518188,1.186999
6,6,101.521393,1.862841
7,7,97.844131,0.703464
8,8,95.634499,0.263321
9,9,96.827164,0.482393
10,10,96.634537,0.578529
11,11,96.954727,0.516253
12,12,94.952187,0.161804
13,13,94.226952,0.109561
14,14,94.956329,0.302691
15,15,94.901901,0.092295
16,16,93.975983,0.127082
17,17,94.737953,0.000000
18,18,95.616928,0.092997
19,19,93.773842,0.000000
20,20,93.159073,0.000000
21,21,93.072739,0.000000
22,22,95.285080,0.143121
23,23,95.136299,0.000000
24,24,94.779968,0.000000
25,25,96.487076,0.000000
26,26,98.546036,0.000000
27,27,98.281578,0.000000
28,28,100.838554,0.461960
29,29,101.238869,0.225280
30,30,99.903038,0.000000
31,31,101.491531,0.427254
32,32,102.308517,0.194680
33,33,101.513512,0.000000
34,34,99.450256,0.000000
35,35,99.706734,0.000000
36,36,99.614578,0.000000
37,37,98.515137,0.000000
38,38,100.225380,0.000000
39,39,100.675179,0.000000
40,40,103.393288,0.000000
41,41,102.875916,0.000000
42,42,102.120102,0.000000
43,43,102.114967,0.000000
44,44,101.343231,0.000000
45,45,99.711998,0.000000
46,46,99.069016,0.000000
47,47,102.186142,0.000000
48,48,103.304176,0.000000
49,49,103.370949,0.000000
50,50,102.058319,0.000000
51,51,100.407333,0.000000
52,52,100.349991,0.000000
53,53,99.744896,0.000000
54,54,99.366432,0.000000
55,55,98.782448,0.000000
56,56,100.304626,0.000000
57,57,99.661888,0.000000
58,58,99.886719,0.000000
59,59,99.716599,0.000000
60,60,101.017723,0.000000
61,61,100.068672,0.000000
62,62,101.131691,0.000000
63,63,101.723198,0.000000
64,64,100.791611,0.000000
65,65,99.371468,0.000000
66,66,98.860855,0.000000
67,67,99.715126,0.000000
68,68,100.625099,0.000000
69,69,101.425934,0.000000
70,70,102.263298,0.000000
71,71,101.745964,0.000000
72,72,100.297287,0.000000
73,73,99.898567,0.000000
74,74,100.991959,0.000000
75,75,101.193413,0.000000
76,76,99.839966,0.000000
77,77,99.788658,0.000000
78,78,101.713142,0.000000
79,79,102.302467,0.000000
80,80,101.299423,0.000000
81,81,99.504036,0.000000
82,82,99.300262,0.000000
83,83,99.768227,0.000000
84,84,100.343292,0.000000
85,85,99.735924,0.000000
86,86,100.390442,0.000000
87,87,100.677910,0.000000
88,88,101.238602,0.000000
89,89,101.224411,0.000000
90,90,102.762115,0.000000
91,91,102.441971,0.000000
92,92,103.480423,0.000000
93,93,104.242004,0.000000
94,94,102.541595,0.000000
95,95,101.906013,0.000000
96,96,102.341331,0.000000
97,97,103.678650,0.000000
98,98,103.391319,0.000000
99,99,103.928642,0.000000
100,100,104.663589,0.000000
1,1,99.103889,0.952244
2,2,100.283707,1.233307
3,3,99.927635,1.450042
4,4,101.182022,0.818804
5,5,100.445076,0.880362
6,6,99.968674,1.200245
7,7,101.292175,1.485605
8,8,102.292061,1.708148
9,9,102.292023,2.539588
10,10,103.958565,2.943157
11,11,102.760818,1.412643
12,12,101.671890,0.955821
13,13,100.471565,0.338797
14,14,102.116730,0.941737
15,15,100.378792,0.658058
16,16,99.619476,0.315368
17,17,98.110413,0.269544
18,18,96.316299,0.000000
19,19,97.889542,0.763967
20,20,97.863243,0.107114
21,21,96.820656,0.162264
22,22,98.329338,0.000000
23,23,94.839798,0.000000
24,24,94.358437,0.000000
25,25,95.592514,0.082512
26,26,95.592346,0.000000
27,27,96.938522,0.147922
28,28,95.057426,0.000000
29,29,93.688606,0.000000
30,30,93.540993,0.000000
31,31,92.438591,0.000000
32,32,91.079666,0.000000
33,33,90.903809,0.000000
34,34,92.235855,0.000000
35,35,94.174278,0.000000
36,36,92.214287,0.000000
37,37,89.672676,0.000000
38,38,89.364296,0.000000
39,39,88.670334,0.000000
40,40,86.299385,0.000000
41,41,83.609230,0.000000
42,42,84.565613,0.000000
43,43,85.419472,0.000000
44,44,84.262032,0.000000
45,45,83.552017,0.000000
46,46,83.710548,0.000000
47,47,82.839928,0.000000
48,48,82.891792,0.000000
49,49,82.413376,0.000000
50,50,83.035210,0.000000
51,51,83.075554,0.000000
52,52,83.532059,0.000000
53,53,83.318893,0.000000
54,54,83.641060,0.000000
55,55,83.198143,0.000000
56,56,83.220825,0.000000
57,57,83.110893,0.000000
58,58,83.403542,0.000000
59,59,82.659134,0.000000
60,60,82.533096,0.000000
61,61,82.631668,0.000000
62,62,82.665390,0.000000
63,63,82.237709,0.000000
64,64,83.451653,0.000000
65,65,83.636711,0.000000
66,66,83.622818,0.000000
67,67,83.155548,0.000000
68,68,84.082588,0.000000
69,69,84.210083,0.000000
70,70,84.060951,0.000000
71,71,83.688553,0.000000
72,72,85.794884,0.000000
73,73,85.824127,0.000000
74,74,86.141655,0.000000
75,75,85.892982,0.000000
76,76,86.113243,0.000000
77,77,85.248466,0.000000
78,78,84.854996,0.000000
79,79,85.402779,0.000000
80,80,84.465881,0.000000
81,81,85.056953,0.000000
82,82,83.846573,0.000000
83,83,84.141212,0.000000
84,84,85.434074,0.000000
85,85,85.550697,0.000000
86,86,85.860291,0.000000
87,87,85.365295,0.000000
88,88,87.330643,0.000000
89,89,88.455948,0.000000
90,90,89.715240,0.000000
91,91,89.479408,0.000000
92,92,88.805099,0.000000
93,93,89.957520,0.000000
94,94,89.129677,0.000000
95,95,90.222847,0.000000
96,96,90.055511,0.000000
97,97,89.929893,0.000000
98,98,91.373779,0.000000
99,99,91.786407,0.000000
100,100,92.289009,0.000000
1,1,98.264603,0.860190
2,2,96.103729,0.224555
3,3,98.914162,1.466434
4,4,97.280983,0.566703
5,5,97.885887,0.715571
6,6,96.758087,0.416931
7,7,94.899788,0.082187
8,8,94.386063,0.308960
9,9,93.856178,0.000000
10,10,95.005135,0.000000
11,11,93.992569,0.000000
12,12,92.313431,0.093620
13,13,92.234871,0.000000
14,14,90.283661,0.000000
15,15,89.020035,0.000000
16,16,88.067299,0.000000
17,17,86.714935,0.000000
18,18,85.460045,0.000000
19,19,89.937881,0.170674
20,20,92.980774,0.000000
21,21,91.783852,0.000000
22,22,93.617569,0.000000
23,23,94.179619,0.000000
24,24,94.039322,0.000000
25,25,91.338097,0.000000
26,26,89.125015,0.000000
27,27,89.865402,0.000000
28,28,89.666389,0.000000
29,29,87.582710,0.000000
30,30,89.237068,0.000000
31,31,89.472687,0.000000
32,32,88.912384,0.000000
33,33,89.219193,0.000000
34,34,87.003525,0.000000
35,35,85.037872,0.000000
36,36,86.425377,0.000000
37,37,87.341011,0.000000
38,38,88.241722,0.000000
39,39,86.870338,0.000000
40,40,86.132278,0.000000
41,41,84.653297,0.000000
42,42,84.464981,0.000000
43,43,83.986305,0.000000
44,44,84.522491,0.000000
45,45,81.614815,0.000000
46,46,83.625694,0.000000
47,47,81.461578,0.000000
48,48,80.749283,0.000000
49,49,80.858963,0.000000
50,50,80.883217,0.000000
51,51,81.048195,0.000000
52,52,81.250183,0.000000
53,53,80.362663,0.000000
54,54,80.442604,0.000000
55,55,81.070198,0.000000
56,56,81.606506,0.000000
57,57,81.162674,0.000000
58,58,80.970421,0.000000
59,59,81.157684,0.000000
60,60,81.235519,0.000000
61,61,80.747055,0.000000
62,62,79.980499,0.000000
63,63,80.811806,0.000000
64,64,81.033157,0.000000
65,65,81.011185,0.000000
66,66,82.005600,0.000000
67,67,82.782990,0.000000
68,68,82.431313,0.000000
69,69,82.406036,0.000000
70,70,82.083458,0.000000
71,71,81.961082,0.000000
72,72,82.556137,0.000000
73,73,83.589027,0.000000
74,74,83.975670,0.000000
75,75,84.043114,0.000000
76,76,82.142799,0.000000
77,77,83.063683,0.000000
78,78,84.428642,0.000000
79,79,84.448074,0.000000
80,80,82.156219,0.000000
81,81,82.371490,0.000000
82,82,82.605865,0.000000
83,83,81.672012,0.000000
84,84,81.474266,0.000000
85,85,79.941322,0.000000
86,86,81.006989,0.000000
87,87,80.509644,0.000000
88,88,81.823700,0.000000
89,89,81.716675,0.000000
90,90,80.868622,0.000000
91,91,80.882927,0.000000
92,92,83.552086,0.000000
93,93,85.149002,0.000000
94,94,85.225807,0.000000
95,95,86.701981,0.000000
96,96,87.365700,0.000000
